home,guest,1,X,2,1X,12,X2,J,N,date,time,date_parsed,bookmaker,country,league
1. FC Kaiserslautern,FC Schalke 04,"2,50","3,55","2,65","1,47","1,29","1,50","1,56","2,25",26.01.2024,18:30,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
Hannover 96,1. FC Nurnberg,"1,84","3,80","4,00","1,24","1,26","1,94","1,66","2,10",26.01.2024,18:30,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
SV Wehen Wiesbaden,Hertha BSC,"2,90","3,70","2,25","1,62","1,27","1,40","1,48","2,50",27.01.2024,13:00,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
FC Hansa Rostock,SpVgg Elversberg 07,"2,85","3,65","2,30","1,58","1,28","1,41","1,54","2,30",27.01.2024,13:00,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
VfL Osnabruck,SC Paderborn 07,"3,25","3,85","2,05","1,76","1,25","1,33","1,46","2,55",27.01.2024,13:00,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
Fortuna Dusseldorf,FC St. Pauli,"2,75","3,45","2,45","1,52","1,30","1,43","1,64","2,15",27.01.2024,20:30,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
Hamburger SV,Karlsruher SC,"1,66","4,30","4,40","1,20","1,21","2,15","1,42","2,70",28.01.2024,13:30,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
Eintracht Braunschweig,1. FC Magdeburg,"2,65","3,65","2,45","1,52","1,28","1,47","1,56","2,25",28.01.2024,13:30,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
SpVgg Greuther Furth,Holstein Kiel,"2,00","3,70","3,40","1,31","1,27","1,76","1,52","2,35",28.01.2024,13:30,2024-01-26 09:08:21.247507,winamax,deutschland,2_bundesliga
