date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed
26.01.2024,18:30,1. FC Kaiserslautern,FC Schalke 04,2.45,3.60,2.75,1.45,1.30,1.52,2.5,1.65,2.20,1.52,2.30,2024-01-23 17:17:28.348953
26.01.2024,18:30,Hannover 96,1. FC Nürnberg,1.90,3.70,3.90,1.25,1.30,1.85,2.5,1.70,2.10,1.62,2.15,2024-01-23 17:17:28.348953
27.01.2024,13:00,Hansa Rostock,SV 07 Elversberg,2.85,3.65,2.35,1.58,1.30,1.42,2.5,1.65,2.20,1.52,2.30,2024-01-23 17:17:28.348953
27.01.2024,13:00,SV Wehen Wiesbaden,Hertha BSC Berlin,3.00,3.75,2.25,1.62,1.30,1.37,3.5,2.30,1.60,1.45,2.50,2024-01-23 17:17:28.348953
27.01.2024,13:00,VfL 1899 Osnabrück,SC Paderborn 07,3.30,3.90,2.05,1.75,1.25,1.32,3.5,2.25,1.62,1.45,2.50,2024-01-23 17:17:28.348953
27.01.2024,20:30,Fortuna Düsseldorf,FC St. Pauli,2.80,3.55,2.45,1.55,1.30,1.42,2.5,1.80,2.00,1.62,2.15,2024-01-23 17:17:28.348953
28.01.2024,13:30,Hamburger SV,Karlsruher SC,1.70,4.35,4.45,1.21,1.23,2.15,3.5,1.90,1.90,1.37,2.75,2024-01-23 17:17:28.348953
28.01.2024,13:30,Greuther Fürth,Holstein Kiel,2.00,3.80,3.45,1.30,1.30,1.75,2.5,1.60,2.30,1.52,2.35,2024-01-23 17:17:28.348953
28.01.2024,13:30,Eintracht Braunschweig,1. FC Magdeburg,2.65,3.65,2.50,1.52,1.30,1.47,2.5,1.70,2.15,1.55,2.25,2024-01-23 17:17:28.348953
