date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
26.01.2024,18:30,1. FC Kaiserslautern,FC Schalke 04,2.45,3.6,2.75,1.45,1.3,1.52,2.5,1.65,2.2,1.52,2.3,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
26.01.2024,18:30,Hannover 96,1. FC Nurnberg,1.9,3.7,3.9,1.25,1.3,1.85,2.5,1.7,2.1,1.62,2.15,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
27.01.2024,13:00,Hansa Rostock,SV 07 Elversberg,2.85,3.65,2.35,1.58,1.3,1.42,2.5,1.65,2.2,1.52,2.3,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
27.01.2024,13:00,SV Wehen Wiesbaden,Hertha BSC Berlin,3.0,3.75,2.25,1.62,1.3,1.37,3.5,2.3,1.6,1.45,2.5,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
27.01.2024,13:00,VfL 1899 Osnabruck,SC Paderborn 07,3.3,3.9,2.05,1.75,1.25,1.32,3.5,2.25,1.62,1.45,2.5,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
27.01.2024,20:30,Fortuna Dusseldorf,FC St. Pauli,2.8,3.55,2.45,1.55,1.3,1.42,2.5,1.8,2.0,1.62,2.15,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
28.01.2024,13:30,Hamburger SV,Karlsruher SC,1.7,4.35,4.45,1.21,1.23,2.15,3.5,1.9,1.9,1.37,2.75,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
28.01.2024,13:30,Greuther Furth,Holstein Kiel,2.0,3.8,3.45,1.3,1.3,1.75,2.5,1.6,2.3,1.52,2.35,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
28.01.2024,13:30,Eintracht Braunschweig,1. FC Magdeburg,2.65,3.65,2.5,1.52,1.3,1.47,2.5,1.7,2.15,1.55,2.25,2024-01-23 17:17:28.348953,tipwin,deutschland,2_bundesliga
