country,league,team,id
spanien,la_liga_2,Club Deportivo Eldense,6
spanien,la_liga_2,CF Villarreal B,7
spanien,la_liga_2,Villarreal CF B,7
spanien,la_liga_2,FC Andorra,8
spanien,la_liga_2,CF Burgos,9
spanien,la_liga_2,Burgos CF,9
spanien,la_liga_2,Sporting Gijon,10
spanien,la_liga_2,Real Valladolid,11
spanien,la_liga_2,CD Mirandes,12
spanien,la_liga_2,Real Zaragoza,13
spanien,la_liga_2,Real Saragossa,13
spanien,la_liga_2,SD Amorebieta,14
spanien,la_liga_2,CD Leganes,15
spanien,la_liga_2,CD Tenerife,16
spanien,la_liga_2,CD Teneriffa,16
spanien,la_liga_2,Espanyol Barcelona,17
spanien,la_liga_2,RCD Espanyol Barcelona,17
spanien,la_liga_2,SD Huesca,18
spanien,la_liga_2,CF Elche,19
spanien,la_liga_2,Elche CF,19
spanien,la_liga_2,Albacete Balompie,20
spanien,la_liga_2,Albacete,20
spanien,la_liga_2,Racing C. DE Ferrol,21
spanien,la_liga_2,Racing de Ferrol,21
spanien,la_liga_2,Racing Ferrol,21
spanien,la_liga_2,Racing de Santander,22
spanien,la_liga_2,Racing De Santander,22
spanien,la_liga_2,Racing Santander,22
